url, rating, rating_translate, claim, date, tags
https://fatabyyano.net/%d8%ae%d8%a8%d8%b1-%d8%b5%d8%ad%d9%8a%d8%ad-%d8%a7%d8%ae%d8%aa%d8%b1%d8%a7%d9%82-%d9%85%d9%88%d9%82%d8%b9-%d9%88%d8%b2%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%b5%d8%ad%d8%a9-%d8%a7%d9%84%d9%85%d8%b5%d8%b1/, صحيح, TRUE, خبر صحيح: اختراق موقع وزارة الصحة المصرية من قبل هاكرز إيراني, 2020-02-01, "مصر,هاكر,هاكرز,وزارة الصحة,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%a8%d9%86%d8%a7%d8%a1-%d9%85%d8%b3%d8%aa%d8%b4%d9%81%d9%89-%d9%84%d9%85%d8%b9%d8%a7%d9%84%d8%ac%d8%a9-%d9%85%d8%b5%d8%a7%d8%a8%d9%8a-%d9%81%d9%8a%d8%b1%d9%88%d8%b3-%d9%83%d9%88%d8%b1%d9%88/, صحيح, TRUE, بناء مستشفى لمعالجة مصابي فيروس كورونا في الصين خلال عشرة أيام ،ما حقيقة ذلك ؟, 2020-01-24, "مستشفى,الصين,فيروس_كورونا,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%aa%d8%ad%d8%af%d9%8a%d8%ab-%d9%88%d9%81%d8%a7%d8%a9-%d9%8a%d9%88%d8%b3%d9%81-%d8%a3%d8%ad%d9%85%d8%af-%d8%af%d9%8a%d8%af%d8%a7%d8%aa-%d8%a8%d8%b9%d8%af-%d8%a3%d9%8a%d8%a7%d9%85-%d9%85%d9%86/, صحيح, TRUE, تحديث: وفاة يوسف أحمد ديدات بعد أيام من محاولة اغتياله!…خبر صحيح, 2020-01-16, "اغتيال,يوسف_ديدات,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%a7%d9%84%d8%ad%d9%82%d8%a7%d8%a6%d9%82-%d8%ad%d9%88%d9%84-%d8%ad%d8%b1%d8%a7%d8%a6%d9%82-%d8%a7%d9%84%d8%ba%d8%a7%d8%a8%d8%a7%d8%aa-%d8%a8%d8%a3%d8%b3%d8%aa%d8%b1%d8%a7%d9%84%d9%8a%d8%a7-%d8%b9/, صحيح, TRUE, الحقائق حول حرائق غابات أستراليا عام 2019, 2020-01-08, "أستراليا,التغير المناخي,حرائق,غابات,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%ae%d8%a8%d8%b1-%d8%b5%d8%ad%d9%8a%d8%ad-%d9%a1%d9%a0-%d8%a2%d9%84%d8%a7%d9%81-%d9%85%d9%86-%d8%a7%d9%84%d8%ac%d9%85%d8%a7%d9%84-%d8%a7%d9%84%d9%88%d8%ad%d8%b4%d9%8a%d8%a9-%d8%b3%d9%8a%d8%aa/, صحيح, TRUE, إعدام١٠ آلاف من الجمال البرية في أستراليا… معلومة صحيحة, 2020-01-08, "إعدام_الجمال,استراليا,الاحتباس_الحراري,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d9%87%d9%84-%d8%a7%d9%84%d9%86%d8%b8%d8%b1-%d8%a7%d9%84%d9%85%d8%a8%d8%a7%d8%b4%d8%b1-%d9%84%d9%84%d8%b4%d9%85%d8%b3-%d8%a3%d8%ab%d9%86%d8%a7%d8%a1-%d8%a7%d9%84%d9%83%d8%b3%d9%88%d9%81-%d9%82%d8%af/, صحيح, TRUE, هل النظر المباشر للشمس أثناء الكسوف قد يسبب العمى؟ تقرير مفصل, 2019-12-26, "الشمس,الكسوف,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d9%88%d9%81%d8%a7%d8%a9-%d8%b7%d9%81%d9%84%d8%a9-%d8%a8%d8%b3%d8%a8%d8%a8-%d8%a7%d8%a8%d8%aa%d9%84%d8%a7%d8%b9%d9%87%d8%a7-%d8%a8%d8%b7%d8%a7%d8%b1%d9%8a%d8%a9_%d8%ad%d9%82%d9%8a%d9%82%d8%a9_%d8%a7/, صحيح, TRUE, وفاة طفلة بسبب ابتلاعها لبطارية دائرية مسطحة!….حقيقة, 2019-11-27, "سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%a7%d9%84%d8%ad%d9%82%d9%8a%d9%82%d8%a9-%d8%a5%d8%af%d9%85%d8%a7%d9%86-%d8%aa%d8%af%d8%ae%d9%8a%d9%86-%d8%a7%d9%84%d8%b9%d9%82%d8%a7%d8%b1%d8%a8/, صحيح, TRUE, إدمان تدخين العقارب!..حقيقة, 2019-10-12, "العقارب,تدخين,‎#خرافة,‎#فتبينوا,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d9%85%d8%ad%d8%a7%d8%b5%d8%b1%d8%a9-%d8%b4%d8%a7%d8%a8-%d9%85%d8%b3%d9%84%d9%85-%d9%85%d9%86-%d9%82%d9%90%d8%a8%d9%8e%d9%84-%d8%a7%d9%84%d8%a8%d9%88%d8%b0%d9%8a%d9%8a%d9%86-%d9%88%d8%b6%d8%b1%d8%a8/, صحيح, TRUE, محاصرة شاب مسلم من قِبَل البوذيين وضربه بالعصِي ثم بالسيف, 2019-07-25, "سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%b6%d8%a8%d8%a7%d8%b7-%d8%b4%d8%b1%d8%b7%d8%a9-%d9%85%d9%8a%d8%a7%d9%86%d9%85%d8%a7%d8%b1-%d9%8a%d8%b6%d8%b1%d8%a8%d9%88%d9%86-%d8%a3%d9%81%d8%b1%d8%a7%d8%af%d8%a7-%d9%85%d9%86-%d9%85%d8%b3%d9%84/, صحيح, TRUE, ضباط شرطة ميانمار يضربون أفرادا من مسلمي الروهينغا في ولاية راخين, 2019-07-25, "أفراد,الأقلية_المسلمة,الشرطة,بورما,‎#خرافة,راخين,ضباط,ضرب,‎#فتبينوا,ميانمار,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%a7%d8%b4%d8%aa%d8%a8%d8%a7%d9%83%d8%a7%d8%aa-%d8%a8%d9%8a%d9%86-%d8%a8%d9%88%d8%b0%d9%8a%d9%8a%d9%86-%d9%88%d9%85%d8%b3%d9%84%d9%85%d9%8a%d9%86/, صحيح, TRUE, اشتباكات بين بوذيين ومسلمين أشعل البوذيون خلالها النار في رجل مسلم, 2019-07-25, "اشتباكات,بورميين,‎#خرافة,‎#فتبينوا,فيديو_مروع,مسلمين,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%b9%d9%85%d9%84%d9%8a%d8%a7%d8%aa-%d8%a7%d8%ba%d8%aa%d8%b5%d8%a7%d8%a8-%d9%88%d8%aa%d8%b9%d8%b0%d9%8a%d8%a8-%d9%88%d9%82%d8%aa%d9%84-%d9%84%d9%85%d8%b3%d9%84%d9%85%d9%8a-%d8%a7%d9%84%d8%b1%d9%88/, صحيح, TRUE, عمليات اغتصاب وتعذيب وقتل لمسلمي الروهينغا شمال أراكان في بورما, 2019-07-25, "اراكان,اغتصاب,بورما,تعذيب,‎#خرافة,ضد_الإنسانية,عمليات,‎#فتبينوا,فظائع,قتل,مسلمي_الروهينجا,وجرائم,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%aa%d8%af%d9%85%d9%8a%d8%b1-%d8%a3%d9%83%d8%ab%d8%b1-%d9%85%d9%86-%d8%a3%d9%84%d9%81-%d9%85%d9%86%d8%b2%d9%84-%d9%81%d9%8a-%d9%82%d8%b1%d9%89-%d9%85%d8%b3%d9%84%d9%85%d8%a9-%d9%81%d9%8a-%d9%88/, صحيح, TRUE, تدمير أكثر من ألف منزل في قرى مسلمة في ولاية راخين غرب بورما, 2019-07-25, "ألف_منزل,الأقمار,الاصطناعية,بورما,تدمير,تكشف,‎#خرافة,راخين,‎#فتبينوا,قرى,مسلمة,ولاية,غرب,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%a3%d9%82%d9%84%d9%8a%d8%a9-%d8%a7%d9%84%d8%b1%d9%88%d9%87%d9%8a%d9%86%d8%ba%d8%a7-%d9%87%d9%8a-%d8%a7%d9%84%d8%a3%d9%83%d8%ab%d8%b1_%d8%a7%d8%b6%d8%b7%d9%87%d8%a7%d8%af%d8%a7/, صحيح, TRUE, الأمم المتحدة:أقلية الروهينغا هي الأكثر اضطهاداً في العالم, 2019-07-25, "أقلية,الأكثر_اضطهادا,الروهينجيا,‎#خرافة,‎#فتبينوا,الأمم_المتحدة,سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d9%81%d8%aa%d8%a8%d9%8a%d9%86%d9%88%d8%a7-%d8%aa%d8%a4%d9%83%d8%af-%d8%ae%d8%a8%d8%b1-%d8%b5%d8%ad%d9%8a%d8%ad-%d8%aa%d9%88%d9%82%d9%81-%d9%81%d9%8a%d8%b3%d8%a8%d9%88%d9%83-%d8%b9%d9%86/, صحيح, TRUE, فتبينوا تؤكد.. خبر صحيح: توقف فيسبوك عن العمل!, 2019-07-03, "سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d8%aa%d8%ac%d8%b3%d8%b3-%d9%88%d8%a7%d8%aa%d8%b3%d8%a7/, صحيح, TRUE, شركة اسرائيلية تستغل ثغرة في واتساب للتجسس على مستخدميه .. حقيقة أم إشاعة؟, 2019-05-15, "سياسي,ديني,علوم,علوم,طبي"
https://fatabyyano.net/%d9%83%d9%88%d8%a8-%d8%b3%d8%aa%d8%a7%d8%b1%d8%a8%d9%83%d8%b3-%d9%81%d9%8a-%d9%84%d8%b9%d8%a8%d8%a9-%d8%a7%d9%84%d8%b9%d8%b1%d9%88%d8%b4/, صحيح, TRUE, كوب ستاربكس في لعبة العروش.. حقيقة أم مفبرك؟, 2019-05-06, "سياسي,ديني,علوم,علوم,طبي"
